name,cost,playcost,type,description,bonus1,bonus1value,bonus2,bonus2value,bonus3,bonus3value
Attack,0,1,attack,+1 Attack Power,attackpower,1,,,,
Attack,0,1,attack,+1 Attack Power,attackpower,1,,,,
Attack,0,1,attack,+1 Attack Power,attackpower,1,,,,
Attack,0,1,attack,+1 Attack Power,attackpower,1,,,,
Attack,0,1,attack,+1 Attack Power,attackpower,1,,,,
Attack,0,1,attack,+1 Attack Power,attackpower,1,,,,
Attack,0,1,attack,+1 Attack Power,attackpower,1,,,,
Attack,0,1,attack,+1 Attack Power,attackpower,1,,,,
Attack,0,1,attack,+1 Attack Power,attackpower,1,,,,
Attack,0,1,attack,+1 Attack Power,attackpower,1,,,,
Attack,0,1,attack,+1 Attack Power,attackpower,1,,,,
Attack,0,1,attack,+1 Attack Power,attackpower,1,,,,
Shield Break,3,1,attack,-3 To Enemy Defense,armourpierce,3,,,,
Shield Break,3,1,attack,-3 To Enemy Defense,armourpierce,3,,,,
Shield Break,3,1,attack,-3 To Enemy Defense,armourpierce,3,,,,
Shield Break,3,1,attack,-3 To Enemy Defense,armourpierce,3,,,,
Shield Break,3,1,attack,-3 To Enemy Defense,armourpierce,3,,,,
Backstab,1,1,attack,+1 Attack Power. Immediately add this card to your hand on purchase,attackpower,1,,,,
Backstab,1,1,attack,+1 Attack Power. Immediately add this card to your hand on purchase,attackpower,1,,,,
Backstab,1,1,attack,+1 Attack Power. Immediately add this card to your hand on purchase,attackpower,1,,,,
Backstab,1,1,attack,+1 Attack Power. Immediately add this card to your hand on purchase,attackpower,1,,,,
Frost Weapon,5,2,misc,"-2 To Enemy Defense
Your attack power is augmented with the Frost element",armourpierce,2,frostaugment,,,
Frost Weapon,5,2,misc,"-2 To Enemy Defense
Your attack power is augmented with the Frost element",armourpierce,2,frostaugment,,,
Frost Weapon,5,2,misc,"-2 To Enemy Defense
Your attack power is augmented with the Frost element",armourpierce,2,frostaugment,,,
Slam,5,2,attack,"+2 Attack Power
-1 to Enemy Defense",attackpower,2,armourpierce,1,,
Slam,5,2,attack,"+2 Attack Power
-1 to Enemy Defense",attackpower,2,armourpierce,1,,
Slam,5,2,attack,"+2 Attack Power
-1 to Enemy Defense",attackpower,2,armourpierce,1,,
Slam,5,2,attack,"+2 Attack Power
-1 to Enemy Defense",attackpower,2,armourpierce,1,,
Crushing Blow,5,2,attack,+3 Attack Power,attackpower,3,,,,
Crushing Blow,5,2,attack,+3 Attack Power,attackpower,3,,,,
Crushing Blow,5,2,attack,+3 Attack Power,attackpower,3,,,,
Crushing Blow,5,2,attack,+3 Attack Power,attackpower,3,,,,
Fire Weapon,5,2,misc,"+1 Attack Power
Your attack power is augmented with the Fire element",attackpower,1,fireaugment,,,
Fire Weapon,5,2,misc,"+1 Attack Power
Your attack power is augmented with the Fire element",attackpower,1,fireaugment,,,
Fire Weapon,5,2,misc,"+1 Attack Power
Your attack power is augmented with the Fire element",attackpower,1,fireaugment,,,
Heal,3,0,misc,"Restore 2 health on playing this card, up to your maximum health only",life,2,,,,
Heal,3,0,misc,"Restore 2 health on playing this card, up to your maximum health only",life,2,,,,
Heal,3,0,misc,"Restore 2 health on playing this card, up to your maximum health only",life,2,,,,
Heal,3,0,misc,"Restore 2 health on playing this card, up to your maximum health only",life,2,,,,
Heal,3,0,misc,"Restore 2 health on playing this card, up to your maximum health only",life,2,,,,
Evade,3,1,misc,While this card is in play you may choose to evade enemies,,,,,,
Evade,3,1,misc,While this card is in play you may choose to evade enemies,,,,,,
Evade,3,1,misc,While this card is in play you may choose to evade enemies,,,,,,
Evade,3,1,misc,While this card is in play you may choose to evade enemies,,,,,,
Warcry,6,1,misc,When this card is played every other player discards a card from their hand,,,,,,
Warcry,6,1,misc,When this card is played every other player discards a card from their hand,,,,,,
Warcry,6,1,misc,When this card is played every other player discards a card from their hand,,,,,,
Dismantle,4,0,misc,"When this card is played, destroy a card from your hand",,,,,,
Dismantle,4,0,misc,"When this card is played, destroy a card from your hand",,,,,,
Dismantle,4,0,misc,"When this card is played, destroy a card from your hand",,,,,,
Dismantle,4,0,misc,"When this card is played, destroy a card from your hand",,,,,,
Temporary Wisdom,4,1,misc,"When played, draw two additional cards (even if this exceeds your maximum intelligence)",,,,,,
Temporary Wisdom,4,1,misc,"When played, draw two additional cards (even if this exceeds your maximum intelligence)",,,,,,
Temporary Wisdom,4,1,misc,"When played, draw two additional cards (even if this exceeds your maximum intelligence)",,,,,,
Temporary Wisdom,4,1,misc,"When played, draw two additional cards (even if this exceeds your maximum intelligence)",,,,,,
