name,cost,type,typename,subtype,shop,description,subtext,bonus1,bonus1value,bonus2,bonus2value,bonus3,bonus3value
Xiphos,3,Equipment,Equipment - Weapon,Weapon,Agora Marketplace,+1 Attack Power,,attackpower,1,,,,
Cuirass,3,Equipment,Equipment - Armour,Armour,Agora Marketplace,"+1 Defense
Gain an additional +2 Defense against human enemies",,defense,1,defense,2,,
Ruby Ring,8,Equipment,Equipment - Ring,Ring,Agora Marketplace,+3 Attack Power when below 5 health,,attackpower,3,,,,
Sapphire Ring,8,Equipment,Equipment - Ring,Ring,Agora Marketplace,+4 Defense when below 5 health,,defense,4,,,,
Turquoise Ring,8,Equipment,Equipment - Ring,Ring,Agora Marketplace,Your Attack cards are augmented with Poison. You cannot keep Attack cards in your play area using Strength.,,,,,,,
Red Garnet Ring,8,Equipment,Equipment - Ring,Ring,Agora Marketplace,Attack cards not played this turn provide an additional +1 Attack Power but have 1 additional Dexterity play cost.,,,,,,,
Green Garnet Ring,8,Equipment,Equipment - Ring,Ring,Agora Marketplace,Attack cards played this turn provide an additional +1 Attack Power but have 1 addition Strength play cost.,,,,,,,
Bismuth Ring,8,Equipment,Equipment - Ring,Ring,Agora Marketplace,For every two Attack cards played this turn gain +1 Attack Power,,,,,,,
Steel Ring,8,Equipment,Equipment - Ring,Ring,Agora Marketplace,Attack cards not played this turn provide 1 Defense instead of Attack Power,,,,,,,
Golden Scepter,5,Equipment,Equipment - Weapon,Weapon,Agora Marketplace,+1 Attack Power for each card discarded this turn,,attackpower,,,,,
Simple Shield,4,Equipment,Equipment - Shield,Shield,Agora Marketplace,"+1 Defense
If you would lose life in battle, reveal the top card of your deck, if it is a card that provides defense then gain +2 Defense",,defense,1,,,,
Old Boots,2,Equipment,Equipment - Boots,Boots,Agora Marketplace,"+1 Maximum Movement
You may move an additional space for free",,,,,,,
Silver Amulet,5,Equipment,Equipment - Amulet,Amulet,Agora Marketplace,Cards that provide defense cost 1 less dexterity to play (to a minimum of 1),,,,,,,
Emerald Amulet,5,Equipment,Equipment - Amulet,Amulet,Agora Marketplace,Poison cards cost 1 less dexterity to play (to a minimum of 1),,,,,,,
Amulet of Vigor,5,Equipment,Equipment - Amulet,Amulet,Agora Marketplace,Your maximum health is increased by 4,,,,,,,
Iron Helmet,2,Equipment,Equipment - Helmet,Helmet,Agora Marketplace,+1 Defense,,defense,1,,,,
Epsilon Axe,8,Equipment,Equipment - Weapon,Weapon,Agora Marketplace,+2 Attack Power,,attackpower,2,,,,
Labrys,20,Equipment,Equipment - Weapon,Weapon,Agora Marketplace,+5 Attack Power. You cannot use a shield while using this weapon.,,attackpower,5,,,,
Bronze Ring,12,Equipment,Equipment - Ring,Ring,Agora Marketplace,You take double damage. Replenish 10 health after battle.,,,,,,,
